character,Cantonese,Mandarin,Initial_Cantonese,Rhyme_Cantonese,Tone_Cantonese,Initial_Mandarin,Rhyme_Mandarin,Tone_Mandarin
的,dik1,de5,d,ik,1,d,e,5
一,jat1,yi1,j,at,1,y,i,1
是,si6,shi4,s,i,6,sh,i,4
不,bat1,bu4,b,at,1,b,u,4
了,liu5,le5,l,iu,5,l,e,5
在,zoi6,zai4,z,oi,6,z,ai,4
人,jan4,ren2,j,an,4,r,en,2
有,jau5,you3,j,au,5,y,ou,3
我,ngo5,wo3,ng,o,5,w,o,3
他,taa1,ta1,t,aa,1,t,a,1
这,ze5,zhe4,z,e,5,zh,e,4
个,go3,ge4,g,o,3,g,e,4
们,mun4,men5,m,un,4,m,en,5
中,zung3,zhong1,z,ung,3,zh,ong,1
来,loi4,lai2,l,oi,4,l,ai,2
上,soeng6,shang4,s,oeng,6,sh,ang,4
大,daai6,da4,d,aai,6,d,a,4
为,wai4,wei4,w,ai,4,w,ei,4
和,wo4,he2,w,o,4,h,e,2
国,gwok3,guo2,gw,ok,3,g,uo,2
地,dei6,di4,d,ei,6,d,i,4
到,dou3,dao4,d,ou,3,d,ao,4
以,ji5,yi3,j,i,5,y,i,3
说,seoi3,shuo1,s,eoi,3,sh,uo,1
时,si4,shi2,s,i,4,sh,i,2
要,jiu3,yao4,j,iu,3,y,ao,4
就,zau6,jiu4,z,au,6,j,iu,4
出,ceot1,chu1,c,eot,1,ch,u,1
会,kui2,hui4,k,ui,2,h,ui,4
可,hak1,ke3,h,ak,1,k,e,3
也,jaa5,ye3,j,aa,5,y,e,3
你,nei5,ni3,n,ei,5,n,i,3
对,deoi3,dui4,d,eoi,3,d,ui,4
生,sang1,sheng1,s,ang,1,sh,eng,1
能,nang4,neng2,n,ang,4,n,eng,2
而,ji4,er2,j,i,4, ,er,2
子,zi2,zi3,z,i,2,z,i,3
那,naa5,na4,n,aa,5,n,a,4
得,dak1,de2,d,ak,1,d,e,2
于,jyu1,yu2,j,ü,1,y,ü,2
着,zoek3,zhao2,z,oek,3,zh,ao,2
下,haa6,xia4,h,aa,6,x,ia,4
自,zi6,zi4,z,i,6,z,i,4
之,zi1,zhi1,z,i,1,zh,i,1
年,nin4,nian2,n,in,4,n,ian,2
过,gwo3,guo4,gw,o,3,g,uo,4
发,faat3,fa1,f,aat,3,f,a,1
后,hau6,hou4,h,au,6,h,ou,4
作,zok3,zuo4,z,ok,3,z,uo,4
里,leoi5,li3,l,eoi,5,l,i,3
用,jung6,yong4,j,ung,6,y,ong,4
道,dou6,dao4,d,ou,6,d,ao,4
行,haang4,xing2,h,aang,4,x,ing,2
所,so2,suo3,s,o,2,s,uo,3
然,jin4,ran2,j,in,4,r,an,2
家,gaa1,jia1,g,aa,1,j,ia,1
种,zung3,zhong3,z,ung,3,zh,ong,3
事,si6,shi4,s,i,6,sh,i,4
成,sing4,cheng2,s,ing,4,ch,eng,2
方,fong1,fang1,f,ong,1,f,ang,1
多,do1,duo1,d,o,1,d,uo,1
经,ging1,jing1,g,ing,1,j,ing,1
么,mo1,yao1,m,o,1,y,ao,1
去,heoi3,qu4,h,eoi,3,q,ü,4
法,faat3,fa3,f,aat,3,f,a,3
学,hok6,xue2,h,ok,6,x,üe,2
如,jyu4,ru2,j,ü,4,r,u,2
都,dou1,du1,d,ou,1,d,u,1
同,tung4,tong2,t,ung,4,t,ong,2
现,jin6,xian4,j,in,6,x,iän,4
当,dong3,dang1,d,ong,3,d,ang,1
没,mut6,mei2,m,ut,6,m,ei,2
动,dung6,dong4,d,ung,6,d,ong,4
面,min6,mian4,m,in,6,m,ian,4
起,hei2,qi3,h,ei,2,q,i,3
看,hon3,kan4,h,on,3,k,an,4
定,ding6,ding4,d,ing,6,d,ing,4
天,tin1,tian1,t,in,1,t,ian,1
分,fan6,fen1,f,an,6,f,en,1
还,waan4,huan2,w,aan,4,h,uan,2
进,zeon3,jin4,z,eon,3,j,in,4
好,hou3,hao3,h,ou,3,h,ao,3
小,siu2,xiao3,s,iu,2,x,iao,3
部,bou6,bu4,b,ou,6,b,u,4
其,kei4,qi2,k,ei,4,q,i,2
些,se1,xie1,s,e,1,x,ie,1
主,zyu2,zhu3,z,ü,2,zh,u,3
样,joeng6,yang2,j,oeng,6,y,ang,2
理,lei5,li3,l,ei,5,l,i,3
心,sam1,xin1,s,am,1,x,in,1
她,taa1,ta1,t,aa,1,t,a,1
本,bun2,ben3,b,un,2,b,en,3
前,cin4,qian2,c,in,4,q,iän,2
开,hoi1,kai1,h,oi,1,k,ai,1
但,daan6,dan4,d,aan,6,d,an,4
因,jan1,yin1,j,an,1,y,in,1
只,zi2,zhi3,z,i,2,zh,i,3
从,cung4,cong2,c,ung,4,c,ong,2
想,soeng2,xiang3,s,oeng,2,x,iang,3
实,sat6,shi2,s,at,6,sh,i,2
日,jat6,ri4,j,at,6,r,i,4
军,gwan1,jun1,gw,an,1,j,ün,1
者,ze2,zhe3,z,e,2,zh,e,3
意,ji3,yi4,j,i,3,y,i,4
无,mou4,wu2,m,ou,4,w,u,2
力,lik6,li4,l,ik,6,l,i,4
它,taa1,ta1,t,aa,1,t,a,1
与,jyu6,yu3,j,ü,6,y,ü,3
长,zoeng2,chang2,z,oeng,2,ch,ang,2
把,baa2,ba3,b,aa,2,b,a,3
机,gei1,ji1,g,ei,1,j,i,1
十,sap6,shi2,s,ap,6,sh,i,2
民,man4,min2,m,an,4,m,in,2
第,dai6,di4,d,ai,6,d,i,4
公,gung1,gong1,g,ung,1,g,ong,1
此,ci2,ci3,c,i,2,c,i,3
已,ji5,yi3,j,i,5,y,i,3
工,gung1,gong1,g,ung,1,g,ong,1
使,si3,shi3,s,i,3,sh,i,3
情,cing4,qing2,c,ing,4,q,ing,2
明,ming4,ming2,m,ing,4,m,ing,2
性,sing3,xing4,s,ing,3,x,ing,4
知,zi1,zhi1,z,i,1,zh,i,1
全,cyun4,quan2,c,ün,4,q,üän,2
三,saam1,san1,s,aam,1,s,an,1
又,jau6,you4,j,au,6,y,ou,4
